,INFDENS_dilute
acc_median_finalbelow0.6_50,4.44
acc_median_finalbelow0.6_100,8.24
comp_final_medianbelow0.6_50,11.87
comp_final_medianbelow0.6_100,11.85
key_concept_coveragebelow0.6_50,11.37
key_concept_coveragebelow0.6_100,12.21
Concisenessbelow0.5_50,2.1
Concisenessabove1.5_50,52.42
Concisenessbelow0.5_100,2.21
Concisenessabove1.5_100,54.53
Num_additionabove2_50,2.24
Num_additionabove2_100,2.07
Num_direct_modificationsabove2_50,6.68
Num_direct_modificationsabove2_100,11.66
acc_median_finalbelow0.4_50,1.14
acc_median_finalbelow0.4_100,2.23
comp_final_medianbelow0.4_50,1.87
comp_final_medianbelow0.4_100,2.24
key_concept_coveragebelow0.4_50,5.46
key_concept_coveragebelow0.4_100,5.96
Num_additionabove4_50,0.7
Num_additionabove4_100,0.72
Num_direct_modificationsabove4_50,3.66
Num_direct_modificationsabove4_100,6.46
