,READ_complex_synonyms,READ_definition_insertion,READ_double_negation
acc_median_finalbelow0.6_50,5.73,2.06,1.0
acc_median_finalbelow0.6_100,5.67,3.19,2.48
comp_final_medianbelow0.6_50,14.34,13.83,15.21
comp_final_medianbelow0.6_100,13.42,13.5,20.65
key_concept_coveragebelow0.6_50,14.5,13.95,16.56
key_concept_coveragebelow0.6_100,14.02,13.74,22.94
Concisenessbelow0.5_50,2.73,3.16,3.53
Concisenessabove1.5_50,43.55,44.51,44.78
Concisenessbelow0.5_100,2.49,2.97,4.98
Concisenessabove1.5_100,47.53,46.23,45.2
Num_additionabove2_50,2.39,2.81,1.65
Num_additionabove2_100,2.99,2.73,1.52
Num_direct_modificationsabove2_50,5.8,1.1,0.42
Num_direct_modificationsabove2_100,7.33,2.6,1.48
acc_median_finalbelow0.4_50,1.25,0.05,0.05
acc_median_finalbelow0.4_100,0.74,0.12,0.17
comp_final_medianbelow0.4_50,2.07,2.43,2.74
comp_final_medianbelow0.4_100,2.24,2.69,3.93
key_concept_coveragebelow0.4_50,6.35,6.6,9.15
key_concept_coveragebelow0.4_100,6.31,6.96,14.46
Num_additionabove4_50,0.7,0.86,0.47
Num_additionabove4_100,0.9,1.0,0.46
Num_direct_modificationsabove4_50,2.43,0.17,0.04
Num_direct_modificationsabove4_100,2.12,0.56,0.61
