,SYNT_shuffle_words,SYNT_verb_tense_errors
acc_median_finalbelow0.6_50,0.79,2.71
acc_median_finalbelow0.6_100,1.15,5.85
comp_final_medianbelow0.6_50,13.61,12.77
comp_final_medianbelow0.6_100,17.63,12.9
key_concept_coveragebelow0.6_50,14.74,11.94
key_concept_coveragebelow0.6_100,19.78,12.24
Concisenessbelow0.5_50,2.46,2.49
Concisenessabove1.5_50,48.12,49.19
Concisenessbelow0.5_100,3.77,2.6
Concisenessabove1.5_100,45.55,49.1
Num_additionabove2_50,2.79,1.59
Num_additionabove2_100,5.32,1.73
Num_direct_modificationsabove2_50,0.0,2.21
Num_direct_modificationsabove2_100,0.0,7.05
acc_median_finalbelow0.4_50,0.0,0.13
acc_median_finalbelow0.4_100,0.0,0.58
comp_final_medianbelow0.4_50,2.14,1.82
comp_final_medianbelow0.4_100,2.65,2.02
key_concept_coveragebelow0.4_50,6.73,5.74
key_concept_coveragebelow0.4_100,8.88,5.73
Num_additionabove4_50,0.68,0.35
Num_additionabove4_100,1.28,0.37
Num_direct_modificationsabove4_50,0.0,0.47
Num_direct_modificationsabove4_100,0.0,2.16
