,GR_key_typo,GR_ran_typo,GR_remove,GR_swap,SYNT_shuffle_words,SYNT_verb_tense_errors,READ_complex_synonyms,READ_definition_insertion,READ_double_negation,INFDENS_dilute
acc_median_finalbelow0.6_50,3.3,2.43,1.82,3.17,0.79,2.71,5.73,2.06,1.0,4.44
acc_median_finalbelow0.6_100,4.98,5.36,2.7,5.03,1.15,5.85,5.67,3.19,2.48,8.24
comp_final_medianbelow0.6_50,15.97,17.53,13.55,18.99,13.61,12.77,14.34,13.83,15.21,11.87
comp_final_medianbelow0.6_100,17.14,18.63,14.75,18.97,17.63,12.9,13.42,13.5,20.65,11.85
key_concept_coveragebelow0.6_50,15.7,17.46,12.97,17.96,14.74,11.94,14.5,13.95,16.56,11.37
key_concept_coveragebelow0.6_100,16.72,18.78,15.24,17.69,19.78,12.24,14.02,13.74,22.94,12.21
Concisenessbelow0.5_50,4.52,5.09,2.64,6.09,2.46,2.49,2.73,3.16,3.53,2.1
Concisenessabove1.5_50,41.66,39.11,50.33,35.91,48.12,49.19,43.55,44.51,44.78,52.42
Concisenessbelow0.5_100,4.68,4.35,2.57,5.82,3.77,2.6,2.49,2.97,4.98,2.21
Concisenessabove1.5_100,42.18,43.9,50.36,36.94,45.55,49.1,47.53,46.23,45.2,54.53
Num_additionabove2_50,2.85,4.52,3.98,3.08,2.79,1.59,2.39,2.81,1.65,2.24
Num_additionabove2_100,3.95,8.69,7.98,2.65,5.32,1.73,2.99,2.73,1.52,2.07
Num_direct_modificationsabove2_50,2.32,1.59,0.65,0.75,0.0,2.21,5.8,1.1,0.42,6.68
Num_direct_modificationsabove2_100,4.09,4.53,1.57,3.97,0.0,7.05,7.33,2.6,1.48,11.66
acc_median_finalbelow0.4_50,0.41,0.83,0.2,0.19,0.0,0.13,1.25,0.05,0.05,1.14
acc_median_finalbelow0.4_100,1.38,2.83,0.49,0.64,0.0,0.58,0.74,0.12,0.17,2.23
comp_final_medianbelow0.4_50,2.8,2.99,2.07,3.81,2.14,1.82,2.07,2.43,2.74,1.87
comp_final_medianbelow0.4_100,3.4,3.48,2.42,2.94,2.65,2.02,2.24,2.69,3.93,2.24
key_concept_coveragebelow0.4_50,7.75,8.62,6.26,9.21,6.73,5.74,6.35,6.6,9.15,5.46
key_concept_coveragebelow0.4_100,8.99,10.36,7.77,9.21,8.88,5.73,6.31,6.96,14.46,5.96
Num_additionabove4_50,0.9,1.29,0.95,1.24,0.68,0.35,0.7,0.86,0.47,0.7
Num_additionabove4_100,1.32,2.57,2.06,0.75,1.28,0.37,0.9,1.0,0.46,0.72
Num_direct_modificationsabove4_50,0.87,1.1,0.24,0.17,0.0,0.47,2.43,0.17,0.04,3.66
Num_direct_modificationsabove4_100,1.94,3.62,0.6,0.91,0.0,2.16,2.12,0.56,0.61,6.46
