,GR_key_typo,GR_ran_typo,GR_remove,GR_swap
acc_median_finalbelow0.6_50,2.43,1.56,0.95,2.3
acc_median_finalbelow0.6_100,4.11,4.49,1.83,4.16
comp_final_medianbelow0.6_50,3.33,4.89,0.91,6.35
comp_final_medianbelow0.6_100,4.5,5.99,2.11,6.33
key_concept_coveragebelow0.6_50,3.01,4.77,0.28,5.27
key_concept_coveragebelow0.6_100,4.03,6.09,2.55,5.0
Concisenessbelow0.5_50,2.16,2.74,0.28,3.74
Concisenessabove1.5_50,-8.34,-10.89,0.33,-14.09
Concisenessbelow0.5_100,2.33,2.0,0.22,3.47
Concisenessabove1.5_100,-7.82,-6.1,0.36,-13.06
Num_additionabove2_50,1.37,3.03,2.49,1.6
Num_additionabove2_100,2.47,7.2,6.5,1.16
Num_direct_modificationsabove2_50,2.32,1.59,0.65,0.75
Num_direct_modificationsabove2_100,4.09,4.53,1.57,3.97
acc_median_finalbelow0.4_50,0.41,0.83,0.2,0.19
acc_median_finalbelow0.4_100,1.38,2.83,0.49,0.64
comp_final_medianbelow0.4_50,0.45,0.64,-0.28,1.46
comp_final_medianbelow0.4_100,1.05,1.13,0.06,0.59
key_concept_coveragebelow0.4_50,1.15,2.02,-0.35,2.61
key_concept_coveragebelow0.4_100,2.39,3.76,1.16,2.61
Num_additionabove4_50,0.33,0.73,0.38,0.68
Num_additionabove4_100,0.75,2.01,1.5,0.19
Num_direct_modificationsabove4_50,0.87,1.1,0.24,0.17
Num_direct_modificationsabove4_100,1.94,3.62,0.6,0.91
