,INFDENS_dilute
acc_median_finalbelow0.6_50,3.57
acc_median_finalbelow0.6_100,7.37
comp_final_medianbelow0.6_50,-0.77
comp_final_medianbelow0.6_100,-0.79
key_concept_coveragebelow0.6_50,-1.32
key_concept_coveragebelow0.6_100,-0.49
Concisenessbelow0.5_50,-0.26
Concisenessabove1.5_50,2.42
Concisenessbelow0.5_100,-0.14
Concisenessabove1.5_100,4.53
Num_additionabove2_50,0.75
Num_additionabove2_100,0.59
Num_direct_modificationsabove2_50,6.68
Num_direct_modificationsabove2_100,11.66
acc_median_finalbelow0.4_50,1.14
acc_median_finalbelow0.4_100,2.23
comp_final_medianbelow0.4_50,-0.49
comp_final_medianbelow0.4_100,-0.12
key_concept_coveragebelow0.4_50,-1.14
key_concept_coveragebelow0.4_100,-0.64
Num_additionabove4_50,0.14
Num_additionabove4_100,0.15
Num_direct_modificationsabove4_50,3.66
Num_direct_modificationsabove4_100,6.46
