,READ_complex_synonyms,READ_definition_insertion,READ_double_negation
acc_median_finalbelow0.6_50,4.86,1.19,0.13
acc_median_finalbelow0.6_100,4.8,2.32,1.61
comp_final_medianbelow0.6_50,1.7,1.19,2.57
comp_final_medianbelow0.6_100,0.78,0.86,8.01
key_concept_coveragebelow0.6_50,1.8,1.25,3.86
key_concept_coveragebelow0.6_100,1.33,1.05,10.25
Concisenessbelow0.5_50,0.37,0.81,1.18
Concisenessabove1.5_50,-6.45,-5.49,-5.22
Concisenessbelow0.5_100,0.14,0.61,2.62
Concisenessabove1.5_100,-2.47,-3.77,-4.8
Num_additionabove2_50,0.91,1.33,0.17
Num_additionabove2_100,1.51,1.24,0.04
Num_direct_modificationsabove2_50,5.8,1.1,0.42
Num_direct_modificationsabove2_100,7.33,2.6,1.48
acc_median_finalbelow0.4_50,1.25,0.05,0.05
acc_median_finalbelow0.4_100,0.74,0.12,0.17
comp_final_medianbelow0.4_50,-0.28,0.08,0.38
comp_final_medianbelow0.4_100,-0.12,0.33,1.57
key_concept_coveragebelow0.4_50,-0.26,0.0,2.55
key_concept_coveragebelow0.4_100,-0.29,0.36,7.86
Num_additionabove4_50,0.14,0.29,-0.09
Num_additionabove4_100,0.33,0.44,-0.1
Num_direct_modificationsabove4_50,2.43,0.17,0.04
Num_direct_modificationsabove4_100,2.12,0.56,0.61
