,GR_key_typo,GR_ran_typo,GR_remove,GR_swap,SYNT_shuffle_words,SYNT_verb_tense_errors,READ_complex_synonyms,READ_definition_insertion,READ_double_negation,INFDENS_dilute
acc_median_finalbelow0.6_50,2.43,1.56,0.95,2.3,-0.08,1.84,4.86,1.19,0.13,3.57
acc_median_finalbelow0.6_100,4.11,4.49,1.83,4.16,0.28,4.98,4.8,2.32,1.61,7.37
comp_final_medianbelow0.6_50,3.33,4.89,0.91,6.35,0.97,0.13,1.7,1.19,2.57,-0.77
comp_final_medianbelow0.6_100,4.5,5.99,2.11,6.33,4.99,0.26,0.78,0.86,8.01,-0.79
key_concept_coveragebelow0.6_50,3.01,4.77,0.28,5.27,2.05,-0.75,1.8,1.25,3.86,-1.32
key_concept_coveragebelow0.6_100,4.03,6.09,2.55,5.0,7.09,-0.45,1.33,1.05,10.25,-0.49
Concisenessbelow0.5_50,2.16,2.74,0.28,3.74,0.1,0.14,0.37,0.81,1.18,-0.26
Concisenessabove1.5_50,-8.34,-10.89,0.33,-14.09,-1.88,-0.81,-6.45,-5.49,-5.22,2.42
Concisenessbelow0.5_100,2.33,2.0,0.22,3.47,1.42,0.24,0.14,0.61,2.62,-0.14
Concisenessabove1.5_100,-7.82,-6.1,0.36,-13.06,-4.45,-0.9,-2.47,-3.77,-4.8,4.53
Num_additionabove2_50,1.37,3.03,2.49,1.6,1.31,0.1,0.91,1.33,0.17,0.75
Num_additionabove2_100,2.47,7.2,6.5,1.16,3.84,0.24,1.51,1.24,0.04,0.59
Num_direct_modificationsabove2_50,2.32,1.59,0.65,0.75,0.0,2.21,5.8,1.1,0.42,6.68
Num_direct_modificationsabove2_100,4.09,4.53,1.57,3.97,0.0,7.05,7.33,2.6,1.48,11.66
acc_median_finalbelow0.4_50,0.41,0.83,0.2,0.19,0.0,0.13,1.25,0.05,0.05,1.14
acc_median_finalbelow0.4_100,1.38,2.83,0.49,0.64,0.0,0.58,0.74,0.12,0.17,2.23
comp_final_medianbelow0.4_50,0.45,0.64,-0.28,1.46,-0.22,-0.54,-0.28,0.08,0.38,-0.49
comp_final_medianbelow0.4_100,1.05,1.13,0.06,0.59,0.29,-0.33,-0.12,0.33,1.57,-0.12
key_concept_coveragebelow0.4_50,1.15,2.02,-0.35,2.61,0.13,-0.86,-0.26,0.0,2.55,-1.14
key_concept_coveragebelow0.4_100,2.39,3.76,1.16,2.61,2.28,-0.87,-0.29,0.36,7.86,-0.64
Num_additionabove4_50,0.33,0.73,0.38,0.68,0.12,-0.22,0.14,0.29,-0.09,0.14
Num_additionabove4_100,0.75,2.01,1.5,0.19,0.72,-0.19,0.33,0.44,-0.1,0.15
Num_direct_modificationsabove4_50,0.87,1.1,0.24,0.17,0.0,0.47,2.43,0.17,0.04,3.66
Num_direct_modificationsabove4_100,1.94,3.62,0.6,0.91,0.0,2.16,2.12,0.56,0.61,6.46
