,GR_key_typo,GR_ran_typo,GR_remove,GR_swap
acc_median_final_below_0.6_50,8.57,8.24,7.77,6.17
acc_median_final_below_0.6_100,14.68,14.41,13.6,10.73
comp_final_median_below_0.6_50,27.14,30.21,29.72,25.15
comp_final_median_below_0.6_100,30.53,39.76,37.0,27.56
key_concept_coverage_below_0.6_50,31.04,34.76,35.11,28.63
key_concept_coverage_below_0.6_100,35.53,49.72,48.45,30.53
Conciseness_below_0.5_50,8.24,8.23,8.96,8.23
Conciseness_above_1.5_50,50.86,49.5,49.3,51.8
Conciseness_below_0.5_100,8.84,9.05,9.95,8.9
Conciseness_above_1.5_100,49.25,46.99,46.64,50.84
Num_addition_above_2_50,6.56,8.82,7.73,5.6
Num_addition_above_2_100,7.83,10.84,9.85,5.64
Num_direct_modifications_above_2_50,2.98,2.92,1.92,1.18
Num_direct_modifications_above_2_100,7.75,5.76,4.27,4.52
acc_median_final_below_0.4_50,0.72,1.22,0.6,0.5
acc_median_final_below_0.4_100,2.18,3.26,1.78,1.31
comp_final_median_below_0.4_50,5.58,6.46,6.41,5.1
comp_final_median_below_0.4_100,7.13,10.08,8.99,6.08
key_concept_coverage_below_0.4_50,15.4,17.68,17.53,14.14
key_concept_coverage_below_0.4_100,19.03,28.33,26.48,16.01
Num_addition_above_4_50,1.66,2.39,2.19,1.52
Num_addition_above_4_100,2.23,3.49,2.93,1.55
Num_direct_modifications_above_4_50,0.58,1.15,0.4,0.12
Num_direct_modifications_above_4_100,2.81,3.15,1.46,1.27
