,INFDENS_dilute
acc_median_final_below_0.6_50,18.04
acc_median_final_below_0.6_100,27.18
comp_final_median_below_0.6_50,25.46
comp_final_median_below_0.6_100,25.99
key_concept_coverage_below_0.6_50,28.8
key_concept_coverage_below_0.6_100,29.02
Conciseness_below_0.5_50,6.73
Conciseness_above_1.5_50,52.8
Conciseness_below_0.5_100,6.5
Conciseness_above_1.5_100,53.48
Num_addition_above_2_50,5.8
Num_addition_above_2_100,6.06
Num_direct_modifications_above_2_50,14.34
Num_direct_modifications_above_2_100,24.16
acc_median_final_below_0.4_50,2.51
acc_median_final_below_0.4_100,5.96
comp_final_median_below_0.4_50,5.04
comp_final_median_below_0.4_100,5.41
key_concept_coverage_below_0.4_50,13.77
key_concept_coverage_below_0.4_100,14.16
Num_addition_above_4_50,1.59
Num_addition_above_4_100,1.7
Num_direct_modifications_above_4_50,6.64
Num_direct_modifications_above_4_100,13.42
