,READ_complex_synonyms,READ_definition_insertion,READ_double_negation
acc_median_final_below_0.6_50,12.69,12.1,4.34
acc_median_final_below_0.6_100,19.98,18.33,7.43
comp_final_median_below_0.6_50,26.34,24.6,28.42
comp_final_median_below_0.6_100,27.73,24.39,32.27
key_concept_coverage_below_0.6_50,31.35,27.47,31.04
key_concept_coverage_below_0.6_100,35.11,27.28,34.97
Conciseness_below_0.5_50,8.6,8.19,8.61
Conciseness_above_1.5_50,51.01,52.8,49.03
Conciseness_below_0.5_100,8.58,8.23,10.59
Conciseness_above_1.5_100,50.6,53.39,45.96
Num_addition_above_2_50,6.61,5.6,5.35
Num_addition_above_2_100,6.23,5.67,5.18
Num_direct_modifications_above_2_50,6.7,9.1,0.03
Num_direct_modifications_above_2_100,12.36,16.34,0.26
acc_median_final_below_0.4_50,1.1,0.33,0.12
acc_median_final_below_0.4_100,2.8,1.47,0.29
comp_final_median_below_0.4_50,5.19,4.93,6.1
comp_final_median_below_0.4_100,5.68,4.81,7.73
key_concept_coverage_below_0.4_50,14.57,13.01,15.72
key_concept_coverage_below_0.4_100,17.4,12.92,19.36
Num_addition_above_4_50,1.87,1.74,1.56
Num_addition_above_4_100,1.77,1.62,1.45
Num_direct_modifications_above_4_50,1.69,2.79,0.0
Num_direct_modifications_above_4_100,5.04,8.37,0.0
