,SYNT_shuffle_words,SYNT_verb_tense_errors
acc_median_final_below_0.6_50,3.3,5.14
acc_median_final_below_0.6_100,5.59,8.24
comp_final_median_below_0.6_50,29.07,24.49
comp_final_median_below_0.6_100,37.58,24.48
key_concept_coverage_below_0.6_50,37.24,27.34
key_concept_coverage_below_0.6_100,48.75,26.8
Conciseness_below_0.5_50,8.82,7.91
Conciseness_above_1.5_50,48.58,52.57
Conciseness_below_0.5_100,10.68,7.87
Conciseness_above_1.5_100,47.57,52.9
Num_addition_above_2_50,6.49,6.5
Num_addition_above_2_100,8.67,5.91
Num_direct_modifications_above_2_50,0.0,0.79
Num_direct_modifications_above_2_100,0.0,2.93
acc_median_final_below_0.4_50,0.1,0.14
acc_median_final_below_0.4_100,0.08,0.24
comp_final_median_below_0.4_50,5.94,4.79
comp_final_median_below_0.4_100,7.8,4.61
key_concept_coverage_below_0.4_50,17.75,12.81
key_concept_coverage_below_0.4_100,24.39,12.51
Num_addition_above_4_50,2.15,1.89
Num_addition_above_4_100,2.87,1.7
Num_direct_modifications_above_4_50,0.0,0.04
Num_direct_modifications_above_4_100,0.0,0.44
