,GR_key_typo,GR_ran_typo,GR_remove,GR_swap
acc_median_final_below_0.6_50,5.5,5.17,4.7,3.1
acc_median_final_below_0.6_100,11.6,11.34,10.53,7.66
comp_final_median_below_0.6_50,3.7,6.77,6.28,1.71
comp_final_median_below_0.6_100,7.09,16.33,13.56,4.12
key_concept_coverage_below_0.6_50,3.3,7.02,7.37,0.9
key_concept_coverage_below_0.6_100,7.79,21.98,20.71,2.79
Conciseness_below_0.5_50,-0.2,-0.22,0.51,-0.22
Conciseness_above_1.5_50,-1.45,-2.8,-3.01,-0.5
Conciseness_below_0.5_100,0.4,0.6,1.51,0.46
Conciseness_above_1.5_100,-3.06,-5.31,-5.67,-1.46
Num_addition_above_2_50,0.47,2.73,1.64,-0.49
Num_addition_above_2_100,1.74,4.75,3.76,-0.45
Num_direct_modifications_above_2_50,2.98,2.92,1.92,1.18
Num_direct_modifications_above_2_100,7.75,5.76,4.27,4.52
acc_median_final_below_0.4_50,0.61,1.11,0.5,0.4
acc_median_final_below_0.4_100,2.07,3.16,1.68,1.2
comp_final_median_below_0.4_50,0.77,1.65,1.6,0.29
comp_final_median_below_0.4_100,2.32,5.27,4.18,1.27
key_concept_coverage_below_0.4_50,2.25,4.53,4.38,0.99
key_concept_coverage_below_0.4_100,5.87,15.17,13.33,2.85
Num_addition_above_4_50,0.18,0.91,0.7,0.04
Num_addition_above_4_100,0.74,2.01,1.45,0.06
Num_direct_modifications_above_4_50,0.58,1.15,0.4,0.12
Num_direct_modifications_above_4_100,2.81,3.15,1.46,1.27
