,INFDENS_dilute
acc_median_final_below_0.6_50,14.97
acc_median_final_below_0.6_100,24.1
comp_final_median_below_0.6_50,2.02
comp_final_median_below_0.6_100,2.55
key_concept_coverage_below_0.6_50,1.06
key_concept_coverage_below_0.6_100,1.28
Conciseness_below_0.5_50,-1.71
Conciseness_above_1.5_50,0.5
Conciseness_below_0.5_100,-1.94
Conciseness_above_1.5_100,1.18
Num_addition_above_2_50,-0.29
Num_addition_above_2_100,-0.03
Num_direct_modifications_above_2_50,14.34
Num_direct_modifications_above_2_100,24.16
acc_median_final_below_0.4_50,2.41
acc_median_final_below_0.4_100,5.86
comp_final_median_below_0.4_50,0.23
comp_final_median_below_0.4_100,0.6
key_concept_coverage_below_0.4_50,0.61
key_concept_coverage_below_0.4_100,1.01
Num_addition_above_4_50,0.1
Num_addition_above_4_100,0.22
Num_direct_modifications_above_4_50,6.64
Num_direct_modifications_above_4_100,13.42
