,GR_key_typo,GR_ran_typo,GR_remove,GR_swap,SYNT_shuffle_words,SYNT_verb_tense_errors,READ_complex_synonyms,READ_definition_insertion,READ_double_negation,INFDENS_dilute
acc_median_final_below_0.6_50,5.5,5.17,4.7,3.1,0.23,2.07,9.62,9.03,1.27,14.97
acc_median_final_below_0.6_100,11.6,11.34,10.53,7.66,2.52,5.17,16.91,15.26,4.36,24.1
comp_final_median_below_0.6_50,3.7,6.77,6.28,1.71,5.63,1.05,2.9,1.16,4.98,2.02
comp_final_median_below_0.6_100,7.09,16.33,13.56,4.12,14.14,1.04,4.29,0.95,8.83,2.55
key_concept_coverage_below_0.6_50,3.3,7.02,7.37,0.9,9.51,-0.4,3.61,-0.27,3.3,1.06
key_concept_coverage_below_0.6_100,7.79,21.98,20.71,2.79,21.01,-0.93,7.37,-0.46,7.23,1.28
Conciseness_below_0.5_50,-0.2,-0.22,0.51,-0.22,0.37,-0.54,0.15,-0.26,0.17,-1.71
Conciseness_above_1.5_50,-1.45,-2.8,-3.01,-0.5,-3.72,0.27,-1.29,0.5,-3.28,0.5
Conciseness_below_0.5_100,0.4,0.6,1.51,0.46,2.24,-0.58,0.14,-0.22,2.15,-1.94
Conciseness_above_1.5_100,-3.06,-5.31,-5.67,-1.46,-4.73,0.6,-1.7,1.09,-6.35,1.18
Num_addition_above_2_50,0.47,2.73,1.64,-0.49,0.4,0.41,0.52,-0.49,-0.74,-0.29
Num_addition_above_2_100,1.74,4.75,3.76,-0.45,2.58,-0.18,0.14,-0.42,-0.91,-0.03
Num_direct_modifications_above_2_50,2.98,2.92,1.92,1.18,0.0,0.79,6.7,9.1,0.03,14.34
Num_direct_modifications_above_2_100,7.75,5.76,4.27,4.52,0.0,2.93,12.36,16.34,0.26,24.16
acc_median_final_below_0.4_50,0.61,1.11,0.5,0.4,0.0,0.04,1.0,0.23,0.01,2.41
acc_median_final_below_0.4_100,2.07,3.16,1.68,1.2,-0.03,0.14,2.7,1.37,0.19,5.86
comp_final_median_below_0.4_50,0.77,1.65,1.6,0.29,1.13,-0.03,0.38,0.12,1.29,0.23
comp_final_median_below_0.4_100,2.32,5.27,4.18,1.27,2.99,-0.2,0.87,0.0,2.92,0.6
key_concept_coverage_below_0.4_50,2.25,4.53,4.38,0.99,4.59,-0.35,1.42,-0.14,2.57,0.61
key_concept_coverage_below_0.4_100,5.87,15.17,13.33,2.85,11.23,-0.64,4.25,-0.23,6.21,1.01
Num_addition_above_4_50,0.18,0.91,0.7,0.04,0.67,0.41,0.38,0.26,0.08,0.1
Num_addition_above_4_100,0.74,2.01,1.45,0.06,1.38,0.22,0.28,0.14,-0.04,0.22
Num_direct_modifications_above_4_50,0.58,1.15,0.4,0.12,0.0,0.04,1.69,2.79,0.0,6.64
Num_direct_modifications_above_4_100,2.81,3.15,1.46,1.27,0.0,0.44,5.04,8.37,0.0,13.42
